#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Levitating","Dua Lipa",103,11A,88,2022-01-16,03:23,82,"pop","Future Nostalgia",2020-03-27,70,6,0,91,0,20,-2,F#/G♭ Minor,4,39LLxExYz6ewLAcYrzQQyP,GBAHT1901299
2,"In The End - Mellen Gi Remix","Tommee Profitt,Fleurie,Mellen Gi",88,6A,61,2022-03-10,03:38,71,"","In The End",2019-03-22,62,48,3,22,10,10,-7,G Minor,4,5rAUZy2eDdegBxUVYxePK2,USUG11802944
3,"Tum Se (From  Teri Baaton Mein Aisa Uljha Jiya )","Sachin-Jigar,Raghav Chaitanya,Varun Jain,Indraneel",100,6B,60,2025-03-12,04:24,76,"gujarati pop, bollywood, hindi pop, desi, gujarati garba, hindi indie, indian indie, desi pop, ","Tum Se (From  Teri Baaton Mein Aisa Uljha Jiya )",2024-02-02,61,68,0,44,0,10,-6,A#/B♭ Major,4,2ceeTJAzKy295Fm0VsaXtE,INS182400341
4,"Zaroorat","Mustafa Zahid,Mithoon",93,2A,71,2025-03-28,06:08,70,"bollywood, hindi pop","Ek Villain",2014-05-28,35,36,0,24,0,20,-6,D#/E♭ Minor,4,32U1XMh3DKlm45uvpofhvY,INS181401037
5,"Toxic","BoyWithUke",180,1A,61,2022-10-06,02:48,64,"","Toxic",2021-10-29,59,84,0,69,30,40,-7,G#/A♭ Minor,4,2gQPv5jvVPqU2a9HhMNO1v,TCAFS2101442
6,"Astronaut In The Ocean","Masked Wolf",150,9A,70,2022-03-24,02:12,72,"","Astronaut In The Ocean",2021-01-06,78,18,0,47,0,10,-7,E Minor,4,3Ofmpyhv5UAQ70mENzB277,USAT22100017
7,"Kesariya (From  Brahmastra )","Pritam,Arijit Singh,Amitabh Bhattacharya",94,8B,57,2023-10-26,04:28,72,"bollywood, hindi pop, desi, bangla pop","Kesariya (From  Brahmastra )",2022-07-17,58,57,0,44,0,10,-7,C Major,4,6VBhH7CyP56BXjp8VsDFPZ,INS172203702
8,"On My Way","Alan Walker,Sabrina Carpenter,Farruko",170,12A,69,2022-01-12,03:13,74,"pop, reggaeton, trap latino","On My Way",2019-03-21,51,2,0,30,10,30,-5,C♯/D♭ Minor,4,4n7jnSxVLd8QioibtTDBDq,NOG841901010
9,"Stronger","TheFatRat,Slaydit,Anjulie",160,11A,92,2022-06-08,03:25,64,"","Stronger",2019-06-24,67,7,6,51,0,0,-4,F#/G♭ Minor,3,0iTI5FTB9iEUtcMdx9YyZS,CA6D21900181
10,"Cradles","Sub Urban",67,3B,59,2022-01-12,03:29,1,"","Cradles",2019-01-04,58,27,0,63,30,10,-2,C♯/D♭ Major,3,18A7ha5BitZjmdHTCwXFbU,GB2LD1800949
